customer_id,full_name,cpf_cnpj,date_of_birth,annual_income_brl,declared_occupation,risk_rating,registration_date,country,state,city,beneficial_owner,pep,kyc_tier,kyc_risk_score,sanctions_list_hit
C100000,Customer 1,52601815908,1977-04-06,46542,Dentist,Low,2024-09-08,BR,SP,São Paulo,No,No,L1,50,No
C100001,Customer 2,18609139099,1993-08-03,10005,Student,High,2020-07-09,BR,SP,São Paulo,No,No,L3,60,No
C100002,Customer 3,46281948219,2009-03-31,30667,Freelancer,Low,2021-02-03,BR,AM,Manaus,Yes,No,L3,72,No
C100003,Customer 4,90937865797,1990-06-10,22321,Dentist,Low,2022-01-06,BR,PR,Curitiba,No,No,L3,54,No
C100004,Customer 5,19487574911,2003-12-06,23013,Teacher,Low,2023-11-02,BR,CE,Fortaleza,No,No,L1,62,No
C100005,Customer 6,60189555979,1998-12-05,45407,Freelancer,Medium,2023-01-10,BR,RJ,Rio de Janeiro,No,No,L2,63,No
C100006,Customer 7,4974650752,2012-10-22,15864,Student,Low,2022-06-12,BR,RJ,Rio de Janeiro,No,No,L2,30,No
C100007,Customer 8,36671276842,1996-08-16,31276,Chef,Low,2024-08-28,BR,SP,Campinas,No,No,L2,51,No
C100008,Customer 9,32122330792,1981-07-28,5862,Designer,Low,2024-09-12,BR,PR,Curitiba,No,No,L3,70,No
C100009,Customer 10,99528907866,1993-10-17,7734,Lawyer,Low,2024-06-28,BR,CE,Fortaleza,No,No,L1,89,No
C100010,Customer 11,13721590109,1971-07-28,27481,Software Engineer,Low,2024-01-29,BR,BA,Salvador,No,No,L3,56,No
C100011,Customer 12,13962459571,1968-05-07,5658,Teacher,Low,2025-03-23,BR,SP,Campinas,No,No,L2,23,No
C100012,Customer 13,41215472803,2005-05-23,19284,Entrepreneur,Low,2020-04-20,BR,SC,Florianópolis,No,No,L3,49,No
C100013,Customer 14,14852538885,2015-02-05,17376,Chef,Low,2022-03-10,BR,RS,Porto Alegre,No,No,L1,65,No
C100014,Customer 15,33875004743,2020-02-17,6703,Designer,High,2025-01-05,BR,DF,Brasília,No,No,L3,70,No
C100015,Customer 16,51313735379,2012-10-01,15386,Freelancer,Low,2023-11-10,BR,SP,Campinas,No,No,L3,83,No
C100016,Customer 17,16372651676,1965-08-14,12982,Student,Low,2021-06-04,BR,PA,Belém,No,No,L1,21,No
C100017,Customer 18,97299752882,1959-12-03,12865,Student,Medium,2021-02-24,BR,SP,São Paulo,No,No,L3,42,No
C100018,Customer 19,63304348395,1981-04-08,13546,Designer,Low,2021-06-20,BR,BA,Salvador,No,No,L1,36,No
C100019,Customer 20,79868282880,1997-06-27,17454,Driver,Low,2020-01-17,BR,GO,Goiânia,No,No,L1,88,No
C100020,Customer 21,27918058887,1967-07-09,20046,Trader,Low,2022-10-14,BR,RN,Natal,No,No,L1,74,No
C100021,Customer 22,1878017598,2012-05-18,14478,Teacher,Low,2023-02-09,BR,BA,Salvador,No,No,L2,24,No
C100022,Customer 23,83848372616,1997-08-31,21112,Freelancer,Low,2022-09-12,BR,SC,Florianópolis,No,No,L2,41,No
C100023,Customer 24,34125242731,1993-09-24,13550,Mechanic,Low,2022-07-05,BR,RN,Natal,No,No,L1,85,No
C100024,Customer 25,86563551505,2007-09-16,22930,Accountant,Low,2020-03-15,BR,PE,Recife,No,Yes,L2,73,No
C100025,Customer 26,89481131144,1961-07-21,10746,Mechanic,Medium,2023-01-12,BR,RN,Natal,No,No,L1,58,No
C100026,Customer 27,46288975140,2019-09-29,13198,Software Engineer,Low,2020-10-23,BR,MG,Belo Horizonte,No,No,L2,50,No
C100027,Customer 28,14193141705,2007-08-14,20801,Student,High,2023-01-02,BR,CE,Fortaleza,No,No,L3,31,No
C100028,Customer 29,8312402344,2005-08-24,39520,Driver,Low,2024-12-30,BR,GO,Goiânia,No,No,L3,63,No
C100029,Customer 30,45040008838,2000-08-04,47334,Mechanic,High,2021-03-11,BR,RS,Porto Alegre,No,No,L3,50,No
C100030,Customer 31,78684335326,1989-03-07,31403,Trader,Medium,2020-02-28,BR,SP,São Paulo,No,No,L1,71,Yes
C100031,Customer 32,62016849340,1999-03-22,16544,Trader,Low,2024-12-31,BR,MG,Belo Horizonte,No,No,L1,51,No
C100032,Customer 33,55853043520,1988-02-01,12809,Lawyer,Low,2023-02-16,BR,CE,Fortaleza,No,No,L3,43,No
C100033,Customer 34,38014126906,1960-01-08,15568,Student,Low,2022-08-11,BR,PR,Curitiba,No,No,L1,75,No
C100034,Customer 35,96572492086,2020-11-23,29667,Software Engineer,Low,2025-08-27,BR,GO,Goiânia,No,Yes,L3,65,No
C100035,Customer 36,93100251678,1962-07-22,11131,Trader,Low,2022-09-28,BR,AM,Manaus,Yes,No,L2,52,No
C100036,Customer 37,7188181741,1981-10-28,11813,Nurse,Medium,2022-04-20,BR,RS,Porto Alegre,No,No,L1,64,No
